SITECODE,SDATE,TRANSECT,BATLOC_ID,FIELDNAME,VALUE
T01,29-Jun-93,T1,1,HAB1,7
T01,29-Jun-93,T1,1,HAB2,36
T01,29-Jun-93,T1,2,HAB1,1
T01,29-Jun-93,T1,2,HAB2,37
T01,29-Jun-93,T1,3,HAB1,6
T01,29-Jun-93,T1,3,HAB2,37
T01,29-Jun-93,T1,4,HAB1,6
T01,29-Jun-93,T1,4,HAB2,37
T01,29-Jun-93,T1,5,HAB1,6
T01,29-Jun-93,T1,5,HAB2,19
T01,29-Jun-93,T2,6,HAB1,9
T01,23-Jul-93,T1,1,HAB2,37
T01,23-Jul-93,T2,2,HAB1,7
T01,23-Jul-93,T2,2,HAB2,36
T01,23-Jul-93,T2,3,HAB1,7
T01,23-Jul-93,T2,3,HAB2,36
T01,23-Jul-93,T2,4,HAB1,9
T01,23-Jul-93,T2,4,HAB2,36
T01,23-Jul-93,T2,5,HAB1,36
T01,06-Aug-93,T1,1,HAB1,7
T01,06-Aug-93,T1,1,HAB2,36
T01,06-Aug-93,T1,2,HAB1,1
T01,06-Aug-93,T1,2,HAB2,37
T01,06-Aug-93,T1,3,HAB1,6
T01,06-Aug-93,T1,3,HAB2,37
T01,06-Aug-93,T1,4,HAB1,1
T01,06-Aug-93,T1,4,HAB2,37
T01,06-Aug-93,T1,5,HAB1,1
T01,06-Aug-93,T1,5,HAB2,37
T01,06-Aug-93,T1,6,HAB1,1
T01,06-Aug-93,T1,6,HAB2,37
T01,06-Aug-93,T1,7,HAB1,1
T01,06-Aug-93,T1,7,HAB2,37
T01,06-Aug-93,T1,8,HAB1,1
T01,06-Aug-93,T1,8,HAB2,37
T01,06-Aug-93,T1,9,HAB1,1
T01,06-Aug-93,T1,9,HAB2,37
T01,06-Aug-93,T2,10,HAB1,1
T01,06-Aug-93,T2,10,HAB2,36
T01,06-Aug-93,T2,11,HAB1,1
T01,06-Aug-93,T2,11,HAB2,36
T01,06-Aug-93,T2,12,HAB1,1
T01,06-Aug-93,T2,12,HAB2,36
T01,06-Aug-93,T2,13,HAB1,7
T01,06-Aug-93,T2,13,HAB2,36
T01,26-Aug-93,T1,1,HAB1,6
T01,26-Aug-93,T1,1,HAB2,37
T01,26-Aug-93,T1,2,HAB1,6
T01,26-Aug-93,T1,2,HAB2,37
T01,26-Aug-93,T1,3,HAB1,1
T01,26-Aug-93,T1,3,HAB2,37
T01,26-Aug-93,T2,4,HAB1,7
T01,26-Aug-93,T2,4,HAB2,37
T01,26-Aug-93,T2,5,HAB1,7
T01,26-Aug-93,T2,5,HAB2,36
T01,16-Jun-94,T1,1,HAB1,7
T01,16-Jun-94,T2,2,HAB1,9
T01,16-Jun-94,T2,3,HAB1,1
T01,21-Jul-94,T1,1,HAB1,7
T01,21-Jul-94,T1,1,HAB2,36
T01,21-Jul-94,T1,2,HAB1,7
T01,21-Jul-94,T1,2,HAB2,36
T01,21-Jul-94,T1,3,HAB1,37
T01,21-Jul-94,T1,4,HAB1,6
T01,21-Jul-94,T1,4,HAB2,37
T01,21-Jul-94,T1,5,HAB1,1
T01,21-Jul-94,T1,5,HAB2,37
T01,21-Jul-94,T1,6,HAB1,1
T01,21-Jul-94,T1,6,HAB2,37
T01,21-Jul-94,T1,7,HAB1,1
T01,21-Jul-94,T1,7,HAB2,37
T01,21-Jul-94,T1,8,HAB1,1
T01,21-Jul-94,T1,8,HAB2,37
T01,21-Jul-94,T1,9,HAB1,1
T01,21-Jul-94,T1,9,HAB2,37
T01,21-Jul-94,T1,10,HAB1,1
T01,21-Jul-94,T1,10,HAB2,37
T01,21-Jul-94,T2,11,HAB1,1
T01,21-Jul-94,T2,11,HAB2,36
T01,21-Jul-94,T2,12,HAB1,1
