SITECODE,LCODE,VISIT,SDATE,FROMHOUR,FROMMINS,TOHOUR,TOMINS,CLOUD,RAIN,WIND,VISIBILITY
T01,01,E,29-Apr-95,7,5,8,20,3,1,1,1
T10,02,E,10-May-95,7,15,8,15,1,1,2,1
T10,01,E,10-May-95,8,42,9,35,1,1,2,1
T01,01,L,13-Jun-95,7,30,8,55,3,1,1,1
T10,01,L,28-Jun-95,8,16,9,16,1,1,2,1
T10,02,L,28-Jun-95,6,58,7,57,3,1,3,2
T01,01,E,26-Apr-96,6,45,8,5,2,1,2,1
T04,02,E,08-May-96,11,25,13,45,1,1,3,1
T10,01,E,15-May-96,8,36,9,39,1,1,3,1
T10,02,E,15-May-96,7,11,8,16,1,1,2,1
T11,01,E,17-May-96,8,50,10,45,1,1,2,1
T04,01,E,14-Jun-96,13,0,15,10,1,1,2,1
T04,02,L,15-Jun-96,8,0,9,0,1,1,2,1
T11,01,L,18-Jun-96,9,25,10,5,1,1,1,1
T01,01,L,18-Jun-96,7,0,8,2,1,1,2,1
T10,02,L,27-Jun-96,7,5,8,11,2,1,2,1
T10,01,L,27-Jun-96,8,27,9,27,2,1,2,1
T04,01,L,15-Jul-96,9,0,10,5,1,1,2,1
T04,02,E,04-Apr-97,10,40,11,45,1,3,1,1
T04,01,E,15-Apr-97,13,55,15,35,1,1,2,1
T01,01,E,23-Apr-97,6,45,7,53,3,1,1,3
T06,01,E,30-Apr-97,7,15,8,45,1,1,1,1
T05,01,E,05-May-97,7,10,8,35,2,1,3,1
T10,01,E,15-May-97,8,38,9,44,3,1,2,1
T10,02,E,15-May-97,7,10,8,19,3,3,2,2
T11,01,E,16-May-97,10,5,11,20,3,1,2,1
T04,01,L,19-May-97,13,25,14,50,,,,
T04,02,L,23-May-97,11,0,11,55,,,,
T01,01,L,02-Jun-97,7,0,8,15,1,1,1,1
T05,01,L,14-Jun-97,6,55,8,10,1,1,1,1
T10,02,L,24-Jun-97,6,51,9,3,3,1,2,1
T10,01,L,24-Jun-97,8,24,9,20,2,1,2,1
T06,01,L,03-Jul-97,7,0,9,25,1,1,1,1
T11,01,L,03-Jul-97,10,25,11,45,3,1,2,1
T04,02,E,28-Apr-98,11,0,12,0,1,3,2,1
T01,01,E,28-Apr-98,7,0,8,50,1,0,0,2
T05,01,E,11-May-98,7,15,8,25,3,1,2,1
T04,01,E,13-May-98,10,27,12,45,1,3,2,1
T10,02,E,14-May-98,6,48,8,13,1,1,1,2
T10,01,E,14-May-98,8,35,9,43,1,1,2,1
T11,01,E,14-May-98,11,10,12,40,3,1,1,2
T09,01,E,25-May-98,7,30,9,0,1,1,3,1
T10,02,L,23-Jun-98,6,33,7,26,3,3,3,2
T10,01,L,23-Jun-98,7,50,8,47,3,3,3,2
T09,01,L,25-Jun-98,7,30,9,0,3,3,2,2
T01,01,L,26-Jun-98,7,0,8,25,3,2,2,1
T11,01,L,30-Jun-98,10,50,12,0,,,,
T05,01,L,02-Jul-98,7,25,8,25,3,1,2,1
T04,01,L,02-Jul-98,13,0,14,15,1,1,1,1
T04,02,L,10-Jul-98,9,50,10,50,1,1,1,1
T06,01,E,29-Apr-99,7,0,8,30,3,1,1,1
T01,01,E,29-Apr-99,7,0,8,15,,,,
T10,01,E,13-May-99,8,35,9,34,3,2,3,1
T05,01,E,13-May-99,7,5,8,10,3,1,2,1
T10,02,E,13-May-99,6,52,8,11,3,1,3,1
T09,01,E,14-May-99,7,30,9,20,3,1,1,1
T11,01,E,15-May-99,8,25,10,5,2,1,2,1
T01,01,L,14-Jun-99,6,45,8,6,1,1,1,1
T09,01,L,21-Jun-99,8,0,9,55,1,1,2,1
T10,01,L,22-Jun-99,8,20,9,31,1,1,1,1
T10,02,L,22-Jun-99,6,33,8,2,2,1,1,1
T11,01,L,26-Jun-99,10,30,12,0,,,,
T05,01,L,30-Jun-99,7,10,8,20,2,1,2,1
T06,01,L,08-Jul-99,7,0,8,10,2,1,1,1
T01,01,E,19-Apr-00,7,0,8,45,1,1,1,1
T05,01,E,26-Apr-00,6,50,8,0,3,3,1,1
T06,01,E,04-May-00,7,10,8,0,3,1,2,1
T11,01,E,07-May-00,9,15,10,40,1,1,1,1
T10,01,E,09-May-00,8,30,10,0,2,1,2,2
T10,02,E,09-May-00,10,20,11,30,3,1,1,3
T04,02,E,09-May-00,9,15,13,0,1,1,1,1
T04,01,E,12-May-00,9,0,13,30,2,1,3,1
T09,01,E,29-May-00,7,30,10,20,1,1,1,1
T10,02,L,13-Jun-00,8,0,9,5,3,1,2,1
T10,01,L,13-Jun-00,9,45,11,0,3,1,2,1
T01,01,L,15-Jun-00,6,40,8,0,2,1,1,1
T11,01,L,16-Jun-00,11,45,13,20,3,1,1,1
T05,01,L,17-Jun-00,6,15,7,5,1,1,2,1
T09,01,L,03-Jul-00,7,10,10,10,2,0,0,0
T04,02,L,13-Jul-00,12,6,13,40,3,2,3,1
T04,01,L,13-Jul-00,11,0,14,10,3,2,2,1
T06,01,L,10-Aug-00,7,15,8,15,,,,
T10,02,E,18-Apr-01,7,45,8,40,1,0,3,1
T10,01,E,18-Apr-01,9,0,10,5,2,0,1,1
T11,01,E,11-May-01,9,35,12,10,3,1,1,1
