SITECODE,LCODE,VISIT,YEAR,TRANSECT,FIRSTHL1,FIRSTHL2,FIRSTHL3A,FIRSTHL3B,FIRSTHL4A,FIRSTHL4B,SECONDHL1,SECONDHL2,SECONDHL3A,SECONDHL3B,SECONDHL4A,SECONDHL4B
T01,01,H,1995,1,E,3,2,,14,3,,,,,,
T01,01,H,1995,2,E,3,2,,14,3,,,,,,
T01,01,H,1995,3,E,3,6,,,,E,3,1,2,3,7
T01,01,H,1995,4,E,3,1,,3,7,,,,,,
T01,01,H,1995,10,E,1,1,4,3,2,E,4,1,4,7,
T01,01,H,1995,6,E,3,1,,3,7,,,,,,
T01,01,H,1995,7,E,1,1,,3,,E,4,1,,7,
T01,01,H,1995,8,E,1,1,6,3,,E,4,1,,7,
T01,01,H,1995,9,E,3,1,,3,7,,,,,,
T01,01,H,1995,5,E,3,1,,3,,B,5,1,,9,
T04,02,H,1996,4,D,4,4,11,3,,,,,,,
T04,02,H,1996,3,D,4,4,11,3,,,,,,,
T04,02,H,1996,6,C,3,7,9,3,,,,,,,
T04,02,H,1996,7,D,4,4,11,3,,,,,,,
T04,02,H,1996,8,D,4,4,11,3,,,,,,,
T04,02,H,1996,9,D,4,4,11,3,,,,,,,
T04,02,H,1996,10,D,4,4,11,3,,,,,,,
T01,01,H,1996,1,E,3,2,,7,3,,,,,,
T01,01,H,1996,2,E,3,2,,7,3,,,,,,
T01,01,H,1996,3,E,3,6,,,,E,3,1,2,3,7
T01,01,H,1996,4,E,3,1,,3,7,,,,,,
T01,01,H,1996,5,E,3,2,,3,,B,5,1,,9,
T01,01,H,1996,6,E,3,1,,3,7,,,,,,
T01,01,H,1996,7,E,1,1,,3,,E,4,1,,7,
T01,01,H,1996,8,E,1,1,6,3,,E,4,1,,7,
T01,01,H,1996,9,E,3,1,,3,7,,,,,,
T01,01,H,1996,10,E,3,1,4,3,2,E,4,1,4,6,
T01,01,L,1996,5,E,3,2,,3,,E,3,2,,3,10
T04,01,H,1996,1,C,3,6,9,3,,G,7,1,,3,
T04,01,H,1996,2,G,7,1,,3,,C,3,6,9,3,
T04,01,H,1996,3,G,7,1,,3,,C,3,6,9,3,
T04,01,H,1996,4,C,3,6,9,3,,G,6,1,,3,
T04,01,H,1996,5,C,6,1,,3,,C,3,6,9,3,
T04,01,H,1996,6,D,4,4,11,3,,G,6,1,,3,
T04,01,H,1996,7,D,4,4,11,3,,,,,,,
T04,01,H,1996,8,D,4,4,11,3,,,,,,,
T04,01,H,1996,9,D,4,4,11,3,,,,,,,
T04,01,H,1996,10,D,4,4,11,3,,G,6,1,,3,
T04,02,H,1996,1,D,4,4,11,3,,,,,,,
T04,02,H,1996,2,D,4,4,11,3,,,,,,,
T04,02,H,1996,5,D,4,4,11,3,,,,,,,
T05,01,H,1997,1,E,1,1,,3,,A,1,1,8,2,5
T01,01,H,1997,10,E,3,1,4,2,3,,,,,,
T05,01,H,1997,3,E,1,1,,3,,G,7,1,,2,10
T05,01,H,1997,4,E,1,1,,3,,C,6,1,,1,
