SITECODE,LCODE,FROMDATE,SDATE,SPERIOD_D,YEAR,WEEK
T06,02,23-Feb-92,24-Feb-92,1,1992,7
T06,02,24-Feb-92,25-Feb-92,1,1992,8
T06,02,04-Mar-92,05-Mar-92,1,1992,9
T06,02,08-Mar-92,09-Mar-92,1,1992,9
T06,02,16-Mar-92,17-Mar-92,1,1992,11
T06,02,01-Apr-92,02-Apr-92,1,1992,13
T06,02,06-Apr-92,07-Apr-92,1,1992,14
T06,02,08-Apr-92,09-Apr-92,1,1992,14
T06,02,18-Apr-92,19-Apr-92,1,1992,15
T06,02,19-Apr-92,20-Apr-92,1,1992,15
T06,02,21-Apr-92,22-Apr-92,1,1992,16
T06,02,22-Apr-92,23-Apr-92,1,1992,16
T06,02,01-May-92,02-May-92,1,1992,17
T06,02,02-May-92,03-May-92,1,1992,17
T06,02,04-May-92,05-May-92,1,1992,18
T06,02,05-May-92,06-May-92,1,1992,18
T06,02,07-May-92,08-May-92,1,1992,18
T06,02,13-May-92,14-May-92,1,1992,19
T06,02,14-May-92,15-May-92,1,1992,19
T06,02,15-May-92,16-May-92,1,1992,19
T06,02,18-May-92,19-May-92,1,1992,20
T06,02,19-May-92,20-May-92,1,1992,20
T06,02,20-May-92,21-May-92,1,1992,20
T06,02,21-May-92,22-May-92,1,1992,20
T06,02,22-May-92,23-May-92,1,1992,20
T06,02,23-May-92,24-May-92,1,1992,20
T06,02,24-May-92,25-May-92,1,1992,20
T06,02,25-May-92,26-May-92,1,1992,21
T06,02,26-May-92,27-May-92,1,1992,21
T06,02,27-May-92,28-May-92,1,1992,21
T06,02,28-May-92,29-May-92,1,1992,21
T06,02,29-May-92,30-May-92,1,1992,21
T06,02,30-May-92,31-May-92,1,1992,21
T06,02,31-May-92,01-Jun-92,1,1992,21
T06,02,01-Jun-92,02-Jun-92,1,1992,22
T06,02,02-Jun-92,03-Jun-92,1,1992,22
T06,02,03-Jun-92,04-Jun-92,1,1992,22
T06,02,05-Jun-92,06-Jun-92,1,1992,22
T06,02,06-Jun-92,07-Jun-92,1,1992,22
T06,02,07-Jun-92,08-Jun-92,1,1992,22
T06,02,08-Jun-92,09-Jun-92,1,1992,23
T06,02,09-Jun-92,10-Jun-92,1,1992,23
T06,02,10-Jun-92,11-Jun-92,1,1992,23
T06,02,11-Jun-92,12-Jun-92,1,1992,23
T06,02,12-Jun-92,13-Jun-92,1,1992,23
T06,02,13-Jun-92,14-Jun-92,1,1992,23
T06,02,14-Jun-92,15-Jun-92,1,1992,23
T06,02,15-Jun-92,16-Jun-92,1,1992,24
T06,02,17-Jun-92,18-Jun-92,1,1992,24
T06,02,19-Jun-92,20-Jun-92,1,1992,24
T06,02,20-Jun-92,21-Jun-92,1,1992,24
T06,02,21-Jun-92,22-Jun-92,1,1992,24
T06,02,22-Jun-92,23-Jun-92,1,1992,25
T06,02,23-Jun-92,24-Jun-92,1,1992,25
T06,02,24-Jun-92,25-Jun-92,1,1992,25
T06,02,25-Jun-92,26-Jun-92,1,1992,25
T06,02,26-Jun-92,27-Jun-92,1,1992,25
T06,02,27-Jun-92,28-Jun-92,1,1992,25
T06,02,28-Jun-92,29-Jun-92,1,1992,25
T06,02,29-Jun-92,30-Jun-92,1,1992,26
T06,02,30-Jun-92,01-Jul-92,1,1992,26
T06,02,01-Jul-92,02-Jul-92,1,1992,26
T06,02,02-Jul-92,03-Jul-92,1,1992,26
T06,02,03-Jul-92,04-Jul-92,1,1992,26
T06,02,04-Jul-92,05-Jul-92,1,1992,26
T06,02,05-Jul-92,06-Jul-92,1,1992,26
T06,02,06-Jul-92,07-Jul-92,1,1992,27
T06,02,07-Jul-92,08-Jul-92,1,1992,27
T06,02,08-Jul-92,09-Jul-92,1,1992,27
T06,02,09-Jul-92,10-Jul-92,1,1992,27
T06,02,10-Jul-92,11-Jul-92,1,1992,27
T06,02,11-Jul-92,12-Jul-92,1,1992,27
T06,02,12-Jul-92,13-Jul-92,1,1992,27
T06,02,14-Jul-92,15-Jul-92,1,1992,28
T06,02,15-Jul-92,16-Jul-92,1,1992,28
T06,02,16-Jul-92,17-Jul-92,1,1992,28
T06,02,17-Jul-92,18-Jul-92,1,1992,28
T06,02,18-Jul-92,19-Jul-92,1,1992,28
T06,02,19-Jul-92,20-Jul-92,1,1992,28
T06,02,20-Jul-92,21-Jul-92,1,1992,29
T06,02,21-Jul-92,22-Jul-92,1,1992,29
T06,02,22-Jul-92,23-Jul-92,1,1992,29
T06,02,23-Jul-92,24-Jul-92,1,1992,29
T06,02,24-Jul-92,25-Jul-92,1,1992,29
T06,02,25-Jul-92,26-Jul-92,1,1992,29
T06,02,26-Jul-92,27-Jul-92,1,1992,29
T06,02,27-Jul-92,28-Jul-92,1,1992,30
T06,02,28-Jul-92,29-Jul-92,1,1992,30
T06,02,29-Jul-92,30-Jul-92,1,1992,30
T06,02,30-Jul-92,31-Jul-92,1,1992,30
T06,02,31-Jul-92,01-Aug-92,1,1992,30
T06,02,01-Aug-92,02-Aug-92,1,1992,30
T06,02,02-Aug-92,03-Aug-92,1,1992,30
T06,02,03-Aug-92,04-Aug-92,1,1992,31
T06,02,04-Aug-92,05-Aug-92,1,1992,31
T06,02,05-Aug-92,06-Aug-92,1,1992,31
T06,02,06-Aug-92,07-Aug-92,1,1992,31
T06,02,07-Aug-92,08-Aug-92,1,1992,31
T06,02,08-Aug-92,09-Aug-92,1,1992,31
T06,02,09-Aug-92,10-Aug-92,1,1992,31
T06,02,10-Aug-92,11-Aug-92,1,1992,32
T06,02,11-Aug-92,12-Aug-92,1,1992,32
T06,02,13-Aug-92,14-Aug-92,1,1992,32
T06,02,14-Aug-92,15-Aug-92,1,1992,32
T06,02,15-Aug-92,16-Aug-92,1,1992,32
T06,02,16-Aug-92,17-Aug-92,1,1992,32
T06,02,17-Aug-92,18-Aug-92,1,1992,33
T06,02,18-Aug-92,19-Aug-92,1,1992,33
T06,02,19-Aug-92,20-Aug-92,1,1992,33
T06,02,20-Aug-92,21-Aug-92,1,1992,33
T06,02,21-Aug-92,22-Aug-92,1,1992,33
T06,02,22-Aug-92,23-Aug-92,1,1992,33
T06,02,23-Aug-92,24-Aug-92,1,1992,33
T06,02,24-Aug-92,25-Aug-92,1,1992,34
T06,02,25-Aug-92,26-Aug-92,1,1992,34
T06,02,26-Aug-92,27-Aug-92,1,1992,34
T06,02,27-Aug-92,28-Aug-92,1,1992,34
T06,02,28-Aug-92,29-Aug-92,1,1992,34
T06,02,29-Aug-92,30-Aug-92,1,1992,34
T06,02,30-Aug-92,31-Aug-92,1,1992,34
T06,02,31-Aug-92,01-Sep-92,1,1992,35
T06,02,02-Sep-92,03-Sep-92,1,1992,35
T06,02,03-Sep-92,04-Sep-92,1,1992,35
T06,02,05-Sep-92,06-Sep-92,1,1992,35
T06,02,06-Sep-92,07-Sep-92,1,1992,35
T06,02,07-Sep-92,08-Sep-92,1,1992,36
T06,02,08-Sep-92,09-Sep-92,1,1992,36
T06,02,09-Sep-92,10-Sep-92,1,1992,36
T06,02,10-Sep-92,11-Sep-92,1,1992,36
T06,02,12-Sep-92,13-Sep-92,1,1992,36
T06,02,13-Sep-92,14-Sep-92,1,1992,36
T06,02,14-Sep-92,15-Sep-92,1,1992,37
T06,02,15-Sep-92,16-Sep-92,1,1992,37
T06,02,16-Sep-92,17-Sep-92,1,1992,37
T06,02,17-Sep-92,18-Sep-92,1,1992,37
T06,02,18-Sep-92,19-Sep-92,1,1992,37
T06,02,19-Sep-92,20-Sep-92,1,1992,37
T06,02,20-Sep-92,21-Sep-92,1,1992,37
T06,02,21-Sep-92,22-Sep-92,1,1992,38
T06,02,22-Sep-92,23-Sep-92,1,1992,38
T06,02,23-Sep-92,24-Sep-92,1,1992,38
T06,02,24-Sep-92,25-Sep-92,1,1992,38
T06,02,25-Sep-92,26-Sep-92,1,1992,38
T06,02,26-Sep-92,27-Sep-92,1,1992,38
T06,02,27-Sep-92,28-Sep-92,1,1992,38
T06,02,28-Sep-92,29-Sep-92,1,1992,39
T06,02,29-Sep-92,30-Sep-92,1,1992,39
T06,02,01-Oct-92,02-Oct-92,1,1992,39
T06,02,06-Oct-92,07-Oct-92,1,1992,40
T06,02,21-Oct-92,22-Oct-92,1,1992,42
T08,01,21-Oct-92,22-Oct-92,1,1992,42
T08,01,22-Oct-92,23-Oct-92,1,1992,43
T08,01,23-Oct-92,24-Oct-92,1,1992,43
T08,01,24-Oct-92,25-Oct-92,1,1992,43
T08,01,25-Oct-92,26-Oct-92,1,1992,43
T08,01,26-Oct-92,27-Oct-92,1,1992,43
T08,01,27-Oct-92,28-Oct-92,1,1992,43
T08,01,28-Oct-92,29-Oct-92,1,1992,43
T08,01,29-Oct-92,30-Oct-92,1,1992,44
T08,01,30-Oct-92,31-Oct-92,1,1992,44
T08,01,31-Oct-92,01-Nov-92,1,1992,44
T06,02,01-Nov-92,02-Nov-92,1,1992,43
T08,01,01-Nov-92,02-Nov-92,1,1992,44
T08,01,02-Nov-92,03-Nov-92,1,1992,44
T06,02,03-Nov-92,04-Nov-92,1,1992,44
T08,01,03-Nov-92,04-Nov-92,1,1992,44
T08,01,04-Nov-92,05-Nov-92,1,1992,44
T08,01,05-Nov-92,06-Nov-92,1,1992,45
T06,02,05-Nov-92,06-Nov-92,1,1992,44
T08,01,06-Nov-92,07-Nov-92,1,1992,45
T08,01,07-Nov-92,08-Nov-92,1,1992,45
T08,01,08-Nov-92,09-Nov-92,1,1992,45
T08,01,09-Nov-92,10-Nov-92,1,1992,45
T08,01,10-Nov-92,11-Nov-92,1,1992,45
T08,01,11-Nov-92,12-Nov-92,1,1992,45
T08,01,12-Nov-92,13-Nov-92,1,1992,46
T08,01,13-Nov-92,14-Nov-92,1,1992,46
T08,01,14-Nov-92,16-Nov-92,2,1992,46
T08,01,16-Nov-92,17-Nov-92,1,1992,46
T08,01,17-Nov-92,18-Nov-92,1,1992,46
T08,01,18-Nov-92,19-Nov-92,1,1992,46
T08,01,19-Nov-92,20-Nov-92,1,1992,47
T08,01,20-Nov-92,21-Nov-92,1,1992,47
T08,01,21-Nov-92,22-Nov-92,1,1992,47
T08,01,22-Nov-92,23-Nov-92,1,1992,47
T08,01,23-Nov-92,24-Nov-92,1,1992,47
T08,01,24-Nov-92,25-Nov-92,1,1992,47
T08,01,25-Nov-92,26-Nov-92,1,1992,47
T08,01,26-Nov-92,27-Nov-92,1,1992,48
T08,01,27-Nov-92,28-Nov-92,1,1992,48
T08,01,28-Nov-92,29-Nov-92,1,1992,48
T08,01,29-Nov-92,30-Nov-92,1,1992,48
T08,01,30-Nov-92,01-Dec-92,1,1992,48
T08,01,01-Dec-92,02-Dec-92,1,1992,48
T08,01,02-Dec-92,03-Dec-92,1,1992,48
T08,01,03-Dec-92,04-Dec-92,1,1992,49
T08,01,04-Dec-92,05-Dec-92,1,1992,49
T08,01,05-Dec-92,06-Dec-92,1,1992,49
T08,01,06-Dec-92,07-Dec-92,1,1992,49
T08,01,07-Dec-92,08-Dec-92,1,1992,49
T08,01,08-Dec-92,09-Dec-92,1,1992,49
T08,01,09-Dec-92,10-Dec-92,1,1992,49
T05,01,09-Dec-92,10-Dec-92,1,1992,49
T05,01,10-Dec-92,11-Dec-92,1,1992,50
T08,01,10-Dec-92,11-Dec-92,1,1992,50
T05,01,11-Dec-92,12-Dec-92,1,1992,50
T08,01,11-Dec-92,12-Dec-92,1,1992,50
T05,01,12-Dec-92,13-Dec-92,1,1992,50
T08,01,12-Dec-92,13-Dec-92,1,1992,50
T05,01,13-Dec-92,14-Dec-92,1,1992,50
T08,01,13-Dec-92,14-Dec-92,1,1992,50
T08,01,14-Dec-92,15-Dec-92,1,1992,50
T05,01,14-Dec-92,15-Dec-92,1,1992,50
T08,01,15-Dec-92,16-Dec-92,1,1992,50
T05,01,15-Dec-92,16-Dec-92,1,1992,50
T08,01,16-Dec-92,17-Dec-92,1,1992,50
T05,01,16-Dec-92,17-Dec-92,1,1992,50
T08,01,17-Dec-92,18-Dec-92,1,1992,51
T05,01,17-Dec-92,18-Dec-92,1,1992,51
T06,02,18-Dec-92,19-Dec-92,1,1992,50
T08,01,18-Dec-92,19-Dec-92,1,1992,51
T05,01,18-Dec-92,19-Dec-92,1,1992,51
T05,01,19-Dec-92,20-Dec-92,1,1992,51
T08,01,19-Dec-92,20-Dec-92,1,1992,51
T08,01,20-Dec-92,21-Dec-92,1,1992,51
T05,01,20-Dec-92,21-Dec-92,1,1992,51
T05,01,21-Dec-92,22-Dec-92,1,1992,51
T08,01,21-Dec-92,22-Dec-92,1,1992,51
T05,01,22-Dec-92,23-Dec-92,1,1992,51
T08,01,22-Dec-92,23-Dec-92,1,1992,51
T05,01,23-Dec-92,24-Dec-92,1,1992,51
T08,01,23-Dec-92,24-Dec-92,1,1992,51
T05,01,24-Dec-92,25-Dec-92,1,1992,52
T08,01,24-Dec-92,25-Dec-92,1,1992,52
T05,01,25-Dec-92,26-Dec-92,1,1992,52
T08,01,25-Dec-92,26-Dec-92,1,1992,52
T05,01,26-Dec-92,27-Dec-92,1,1992,52
T08,01,26-Dec-92,27-Dec-92,1,1992,52
T08,01,27-Dec-92,28-Dec-92,1,1992,52
T05,01,27-Dec-92,28-Dec-92,1,1992,52
T08,01,28-Dec-92,29-Dec-92,1,1992,52
T05,01,28-Dec-92,29-Dec-92,1,1992,52
T05,01,29-Dec-92,30-Dec-92,1,1992,52
T08,01,29-Dec-92,30-Dec-92,1,1992,52
T05,01,30-Dec-92,31-Dec-92,1,1992,52
T08,01,30-Dec-92,31-Dec-92,1,1992,52
T08,01,31-Dec-92,01-Jan-93,1,1993,52
T04,02,31-Dec-92,01-Jan-93,1,1993,
T05,01,31-Dec-92,01-Jan-93,1,1993,52
T08,01,01-Jan-93,02-Jan-93,1,1993,1
T09,01,01-Jan-93,02-Jan-93,1,1993,1
T04,02,01-Jan-93,02-Jan-93,1,1993,
T06,01,24-Dec-92,02-Jan-93,9,1993,1
T01,01,01-Jan-93,02-Jan-93,1,1993,1
T05,01,01-Jan-93,02-Jan-93,1,1993,1
T08,01,02-Jan-93,03-Jan-93,1,1993,1
T09,01,02-Jan-93,03-Jan-93,1,1993,1
T04,02,02-Jan-93,03-Jan-93,1,1993,
T06,01,02-Jan-93,03-Jan-93,1,1993,1
T01,01,02-Jan-93,03-Jan-93,1,1993,1
T05,01,02-Jan-93,03-Jan-93,1,1993,1
T08,01,03-Jan-93,04-Jan-93,1,1993,1
T09,01,03-Jan-93,04-Jan-93,1,1993,1
T04,02,03-Jan-93,04-Jan-93,1,1993,
T06,01,03-Jan-93,04-Jan-93,1,1993,1
T01,01,03-Jan-93,04-Jan-93,1,1993,1
T05,01,03-Jan-93,04-Jan-93,1,1993,1
T08,01,04-Jan-93,05-Jan-93,1,1993,1
T09,01,04-Jan-93,05-Jan-93,1,1993,1
T04,02,04-Jan-93,05-Jan-93,1,1993,
T06,01,04-Jan-93,05-Jan-93,1,1993,1
T01,01,04-Jan-93,05-Jan-93,1,1993,1
T05,01,04-Jan-93,05-Jan-93,1,1993,1
