SITECODE,AWSNO,FIELDNAME,FROM_DATE,TO_DATE,DATETYPE,CONTINUING,DESCRIPTION
T01,,,07-Jun-93,07-Jun-93,D,,Soil temperature at 30cm depth - value clearly in error (6999 recorded) - set to null
T01,,,01-Jan-93,31-Jul-93,R,Y,Soil water recording problems - data missing
T01,,SWATER,01-Sep-93,07-Sep-93,R,,"SWATER values above upper range. Dry period, but gypsum block may be suspect"
T01,,WETTMP,01-Jan-94,19-Apr-94,R,N,Wet bulb temperatures may be suspect - wick old and grimy
T01,,,01-Jan-93,19-Apr-94,R,Y,"Albedometers not operational (ALBGRD,ALBSKY)"
T01,,SWATER,14-Jun-94,14-Jun-94,D,N,Soil Water values in error from 10.00 to 14.00 - set to null
T01,,WETTMP,29-Jun-94,11-Jul-94,R,N,Wet bulb reservoir/wick dry
T01,,SWATER,27-Jun-94,31-Aug-94,R,,"SWATER values above upper range. Dry period, but gypsum block may be suspect"
T01,,SWATER,16-Jun-96,31-Aug-96,R,N,"SWATER values above upper range. Dry period, but gypsum block may be suspect"
T01,,,24-May-99,26-May-99,R,N,Unexplained loss of data.  They will get the logger looked at.
T01,,,11-Aug-99,07-Sep-99,R,N,Unexplained loss of data.  They will get the logger looked at.
T01,,NETRAD,26-Feb-04,11-Mar-04,R,N,"Net radiometer removed 1600 on 26/02/04 and sent to ELE for re-coating, re-installed 1100 on 11/03/04"
T01,,,15-Apr-04,21-May-04,R,N,"Dry and wet bulb values corrected (problem with offset and slope wrongly set after calibration, these values now re-adjusted)"
T01,,,13-Aug-08,19-Nov-08,R,N,Loss of data 13-Aug to 25-Sep-2008 and 12- to 19-Nov-2008 due to problems downloading remotely and engineer accidently deleting data.
T02,,NETRAD,01-Jan-95,01-Jan-95,D,N,NETRAD values below lower range of -100
T02,,NETRAD,30-Jan-95,30-Jan-95,D,N,NETRAD values below lower range of -100
T02,,STMP10,07-Jul-94,01-Mar-95,R,N,10cm soil thermometer values may be suspect - instrument replaced in March 1995
T02,,STMP10,13-Mar-95,13-Mar-95,D,N,New 10cm soil thermometer inserted  - from 1700 on 13-MAR-95
T02,,NETRAD,24-Mar-95,24-Mar-95,D,N,Net radiometer re-calibrated
T02,,NETRAD,08-Jun-95,30-Jun-95,R,N,Net Radiometer dome contained condensation
T02,,NETRAD,04-Jul-95,04-Jul-95,D,N,Net radiometer domes replaced
T02,,NETRAD,04-Jul-95,25-Jul-95,R,N,Net Radiometer dome contained condensation
T02,,NETRAD,01-Mar-95,17-Aug-95,D,N,Net radiometer had erratic fault causing some missing values. Logger problem found on 17-AUG-95 which had caused some values to be lost
T02,,ALBGRD,07-Jul-94,25-Aug-95,R,Y,"ALBGRD values range from highly negative up to 1. Suspect calibration
wrong. To be investigated with Didcot"
T02,,ALBGRD,25-Aug-95,16-Oct-95,R,N,Albedometer removed for re-calibration
T02,,ALBSKY,25-Aug-95,16-Oct-95,R,N,Albedometer removed for re-calibration
T02,,WDIR,09-Oct-95,13-Dec-95,R,N,Wind direction values may be unreliable - cable found broken on 16-OCT-95. Known to be OK on 9-OCT-95.Replaced on 13-DEC-95
T02,,,05-Dec-95,13-Dec-95,R,N,Intermittant logger problems between these dates
T02,,ALBSKY,16-Oct-95,01-Jan-96,R,N,Albedometer calibration factors in error in program - to be back-corrected
T02,,ALBGRD,16-Oct-95,01-Oct-96,R,N,Albedometer calibration factors in error in program - to be back-corrected
T02,,NETRAD,08-Jan-97,08-Jan-97,D,N,Condensation in Net Radiometer upper dome. 14 00hrs.
T02,,RAIN,08-Jan-97,08-Jan-97,D,N,Raingauge blocked with ice 14 00hrs.
T02,,SURWET,08-Jan-97,08-Jan-97,D,N,Snow cover on surface wetness indicator. 14 00hrs.
T02,,,13-Jan-97,13-Jan-97,D,N,All instruments washed between 0930 and 1030 hrs.
T02,,NETRAD,21-Jan-97,21-Jan-97,D,N,Condensation in Net Radiometer upper dome.
T02,,RAIN,13-Jan-97,21-Jan-97,R,N,Tipping bucket inside raingauge has been stuck in one position between 1000hrs on 13/1 and 1400hrs on 21/1.
T02,,NETRAD,04-Feb-97,04-Feb-97,D,N,Water droplets on Net Radiometer upper dome.
T02,,NETRAD,18-Feb-97,18-Feb-97,D,N,Condensation in Net Radiometer upper dome.
T02,,NETRAD,03-Mar-97,03-Mar-97,D,N,Condensation in Net Radiometer upper and lower domes.
T02,,SWATER,18-Mar-97,18-Mar-97,D,Y,Exchanged gypsum block for a Thetaprobe soil mosture sensor. First hourly mean with Thetaprobe sensor is at 1700 hrs when measurement changes from bars to Volumetric Water Content as a percentage. Disruption caused data losses between 2-4 pm.
T02,,NETRAD,28-Mar-97,28-Mar-97,D,N,Condensation in Net Radiometer upper dome.
T02,,,09-Jul-97,09-Jul-97,D,N,All instruments washed around 1500 GMT.
T02,,NETRAD,09-Jul-97,14-Jul-97,R,N,Silica gel dessicant removed from net radiometer on 9/7 and replaced on 14/7 with re-dessicated gel.
T02,,RAIN,11-Jul-97,22-Aug-97,R,N,Tipping mechanism jammed sometime betwwen 11/7/97 and 22/8/9. Readings up to 2400 GMT on 11/7 and from 1000 GMT 22/7/97are accurate.
T02,,SURWET,19-Aug-97,29-Aug-97,R,N,Electric cable to surface wetness indicator snapped.
T02,,NETRAD,28-May-98,28-May-98,D,N,Net radiometer dome was replaced on 28/5/98
T02,,RAIN,01-Sep-98,03-Nov-98,R,N,No rain data for this date range as the tipping bucket was not recording properly.  There is rain data for this period from another AWS stored in /users/ecn/indata/gle/ma/d806c.dat
T02,,RAIN,03-Nov-98,03-Nov-98,D,N,Disconnected and cleaned rain guage
T02,,,17-Nov-98,17-Nov-98,D,N,No data for 10:00 due to problems with transfer record file
T02,,,10-Dec-98,10-Dec-98,D,N,Replaced silica gel pack in logger box
T02,,,24-Jun-99,24-Jun-99,D,N,Cleaned and sorted rainguage and re-anchored to concrete slab and levelled the guage.
T02,,NETRAD,26-Jun-99,01-Jul-99,R,N,No net radiometer values from 26th June at 13:00 to 1st July.  Sheep chewed through the wire from the weather station to the logger.  Wire now repaired.
T02,,,07-Jul-99,07-Jul-99,D,N,Levelled rain gauge again and re-connected earth wire from weather station tower (sheep damage).
T02,,RAIN,07-Jul-99,07-Jul-99,D,N,RAIN GAUGE RE- ANCHORED TO CONCRETE BLOCK AS IT WAS DISTURBED BY SHEEP.  REPLACED AWS EARTH CABLE AS IT WAS CHEWED BY SHEEP.
T02,,NETRAD,01-Jul-99,08-Jul-99,R,N,NET RADIOMETER VALUES ARE MISSING FROM 1/7/99 TO 8/7/99 AT 09:00.  SHEEP DAMMAGE TO CONNECTING WIRE.  WIRE RE-CONNECTED AND SOLDERED.
T02,,,04-Aug-99,04-Aug-99,D,N,REPLACED SILICA GEL SATCHELS IN LOGGER BOX
T02,,RAIN,03-Jul-99,03-Sep-99,R,N,NO RAINFALL READINGS FROM 3/7/99 TO 3/9/99 AT 21:00.  DAMMAGE BY SHEEP AND BROKEN CABLE.  RAIN GAUGE FIXED 3/9/99.
T02,,NETRAD,05-Nov-99,05-Nov-99,D,N,"Net radiometer value not included, the value was out of range (-121.1)"
T02,,,09-Dec-99,09-Dec-99,D,N,Replaced silica gel packs in logger box
T02,,SWATER_T,01-Jul-97,31-Dec-99,R,Y,Exchanged gypsum block for a Thetaprobe soil mosture sensor. First hourly mean with Thetaprobe sensor is at 1700 hrs when measurement changes from bars to Volumetric Water Content as a percentage. Disruption caused data losses between 2-4 pm.
T02,,WETTMP,19-Jan-00,19-Jan-00,D,Y,Changed wet bulb wick on wet bulb thermometer
T02,,,01-Jun-00,07-Jun-00,R,N,"Rain guage blocked by debris, no rainfall due to inaccuracy"
T02,,RAIN,16-Aug-00,16-Aug-00,D,N,Cleaned rain guage
T02,,,01-Apr-01,01-Jun-01,R,Y,The Albedometer ground values are incorrect and have not been sent.  The readings have been too low compared to last years values and the Sky values.
T02,,,12-Jul-01,12-Jul-01,D,N,"The soil 10cm temperature sensor was trampled and damaged by cattle, this was replaced."
T02,,NETRAD,11-Sep-01,11-Sep-01,D,N,"Net Radiometer dome was found burst, replaced at 08:00."
T02,,,01-Jul-01,01-Oct-01,R,N,Albedometer ground values removed at the site as they were felt to be incorrect when compared to last years values.
T02,,,12-Mar-02,13-Mar-02,R,Y,"day 71 and 72 - replaced the wet bulb, soil 10cm and soil 30cm sensors.  cables had been chewed by small mammals, the dry bulb sensor was re-calibrated with iced water.  All other sensors were washed and sillica jell replaced.  Removed the dome from the net radiometer to remove condensation.  The rain gauge was also checked and the cable also showing signs of rodent dammage - replaced"
T02,,,01-Jan-02,01-Apr-02,R,N,"day 2 11:00; Net Radiation value out of range.
day 24 22:00 to day 71 at 14:00; Wet bulb temp producing high values.
day 42 05:00, 16:00; day 47 11:00, 14:00; day 61 14:00; soil 10cm temp too high for time of year"
T02,,,08-May-02,08-May-02,D,Y,"Removed net radiation dome and dried off, replaced silica gel in all sensors and logger box."
T02,,,28-Aug-02,28-Aug-02,D,Y,Cleaned out raingauge and checked tipping mechanism.  Rain gauge was partially blocked with grass seed.
T02,,,09-Oct-02,09-Oct-02,D,Y,Cleaned out seeds from rain gauge (partially blocked) and checked tipping mechanism.
T02,,,20-Nov-02,20-Nov-02,D,Y,"Checked and callibrated dry and wet bulb 107 temperature sensors, changed wet bulb wick."
T02,,,06-Dec-02,06-Dec-02,D,Y,Changed logger battery with fully charged one.  Re-loaded logger program into logger.
T02,,,25-Dec-02,31-Dec-02,R,N,"Low battery power resulted in inaccurate readings from the dry and wet air temp. sensors, soil 10 cm, soil 30cm and soil Moisture theta probe.  These values have been removed."
T02,,,29-Dec-02,01-Jan-03,R,N,No values recorded due to low battery power to the logger
T02,,,01-Jan-03,08-Jan-03,R,N,No values recorded due to low battery power to the logger
T02,,,12-Jan-03,12-Jan-03,D,N,Soil temperature values incorrect at 10cm and 30cm depths - values removed
T02,,,12-Jan-03,12-Jan-03,D,N,No values recorded due to low battery power to the logger
T02,,,19-Jan-03,25-Jan-03,R,N,No values recorded due to low battery power to the logger
T02,,,25-Jan-03,27-Jan-03,R,N,Wet bulb values were not within the normal expected range - removed
T02,,,31-Jan-03,02-Feb-03,R,N,No values recorded due to low battery power to the logger
T02,,,03-Feb-03,04-Feb-03,R,N,No values recorded due to low battery power to the logger
T02,,,28-Feb-03,28-Feb-03,D,N,0900 - reset time on logger and checked battery power with voltmeter
T02,,,16-May-03,29-May-03,R,N,"Wet bulb values not accurate when compared to dry bulb especially at higher temperatures, and removed.  Checked wet bulb sensor cable for rodent damage or breaks in wire.  Re-callibrated sensor with ice water also checked calibration of dry bulb sensor."
T02,,,02-Jun-03,01-Jul-03,R,N,"Wet bulb temperatures recorded too low at higher temperatures when compared to dry bulb values, and removed.  At Julian day 182 (1-Jul-03) at 12:30 replaced 107 wet bulb sensor and calibrated in ice water, again, recalibrated dry bulb sensor."
T02,,,04-Jul-03,04-Jul-03,D,N,Repaired damage to weather station due to a break in by cattle.  Fixed and repositioned and checked raingauge.  Cleaned albedometer domes and replaced net radiometer domes.  Checked accuracy of raingauge to ensure correct tipping with a specified volume of water. Checked all cables for breaks due to trampling. Erected a line of barbed wire to deter future visits.
T02,,,11-Jul-03,11-Jul-03,R,N,Checked raingauge for accurate tipping
T02,,,23-Oct-03,23-Oct-03,D,N,"Serviced weather station.  Washed all sensors with warm soapy water. Lubricated all pivot points with WD40,  Checked battery power with voltmeter (13.4V).  Checked cables for dammage and calibrated all temperature sensors.  Replaced silica gel in logger and solarimeter and net radiometer.  Checked raingauge tipping bucket."
T02,,,15-Dec-03,15-Dec-03,D,N,Checked battery power with voltmeter (12.4 V) as day length decreases.
T02,,SWATER_T,01-Apr-98,08-Jan-04,R,Y,"There was a power cut on 1/4/98 and an older version of the program was installed by mistake so the theta probe values were incorrectly calculated.  These have been set to null, the Macaulay Institute is investigating if a back-correction can be made."
T02,,,09-Jan-04,09-Jan-04,D,N,14:00 - changed battery due to low voltage and re loaded program and set time
T02,,,14-Jan-04,14-Jan-04,D,N,11:40 - loaded logger with modified program to recalculate soil water potential in percent
